,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,0.015757640202840168,0.00018978042352118407,0.01576987902323405,0.00019232369651377954,,entropy,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6717791411042945,0.6430678466076696,0.6945337620578779,0.669793583256614,0.021057729273861434,1
33,0.026186625162760418,0.007455653981829918,0.010416825612386068,0.007365808463691525,,entropy,9,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6697247706422018,0.6606060606060606,0.6756756756756757,0.6686688356413127,0.006197288311897337,2
31,0.029110034306844074,0.003862682840602688,0.013290087381998697,0.003750317071610189,,entropy,9,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6627906976744186,0.649390243902439,0.6855345911949685,0.6659051775906087,0.014919304031176283,3
26,0.08325417836507161,0.007731509012617078,0.005208889643351237,0.007366482378532073,,entropy,9,,0.01,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.6770186335403726,0.6635220125786163,0.6404494382022472,0.6603300281070786,0.015098964325838076,4
57,0.026178439458211262,0.007176821798505589,0.01042334238688151,0.007370419796615721,,gini,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.659942363112392,0.6735395189003437,0.6448863636363636,0.6594560818830332,0.011702654363318804,5
55,0.015757640202840168,0.00019179825913744872,0.01563111941019694,9.222276643358013e-06,,gini,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6628242074927954,0.659375,0.65,0.6573997358309317,0.005418568436882608,6
30,0.02649998664855957,0.0076922159119790345,0.0105436642964681,0.007457118813273048,,entropy,9,sqrt,0.005,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6563380281690141,0.6606060606060606,0.6515580736543909,0.6561673874764885,0.003695795417665478,7
21,0.02657039960225423,0.0033173344411899755,0.007997671763102213,0.006529552597315612,,entropy,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6837060702875399,0.6397694524495677,0.6438356164383562,0.6557703797251545,0.019823143507761123,8
62,0.05516966183980306,0.006549759643903907,0.007877667744954428,0.006378881161324688,,gini,9,,0.01,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.655367231638418,0.6687306501547987,0.6424418604651163,0.6555132474194444,0.010732850081046179,9
9,0.018601179122924805,0.0038264924075248185,0.013136784235636393,0.003517026691391725,,entropy,3,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
7,0.026412566502888996,0.007658126963722063,0.008127450942993164,0.00669190701683216,,entropy,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
43,0.01830712954203288,0.0037934413939219296,0.007881561915079752,0.0063797219479328985,,gini,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6412429378531074,0.6535211267605634,0.6538102437601124,0.010381207000341914,12
